timestamp,buying power,equity,cash,pnl
2024-01-10 19:34:21,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:23,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:26,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:29,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:32,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:34,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:38,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:40,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:43,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:46,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:48,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:51,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:54,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:56,964205.9,1000709.88,482102.95,2131.913081688457
2024-01-10 19:34:59,964205.9,1000709.88,482102.95,2131.913081688457
